especie;bandeja;tratamento;sucesso;fracasso;numerototal
schinus;1;trat50;5;10;15
schinus;1;trat25;5;10;15
schinus;1;peg;1;14;15
schinus;1;agua;4;11;15
schinus;2;trat50;4;11;15
schinus;2;trat25;3;12;15
schinus;2;peg;0;15;15
schinus;2;agua;9;6;15
schinus;3;trat50;2;13;15
schinus;3;trat25;6;9;15
schinus;3;peg;1;14;15
schinus;3;agua;3;12;15
schinus;4;trat50;2;13;15
schinus;4;trat25;6;9;15
schinus;4;peg;0;15;15
schinus;4;agua;7;8;15
schinus;5;trat50;3;12;15
schinus;5;trat25;1;14;15
schinus;5;peg;1;14;15
schinus;5;agua;3;12;15
schinus;6;trat50;1;14;15
schinus;6;trat25;3;12;15
schinus;6;peg;0;15;15
schinus;6;agua;1;14;15
schinus;7;trat50;3;12;15
schinus;7;trat25;3;12;15
schinus;7;peg;0;15;15
schinus;7;agua;1;14;15
schinus;8;trat50;0;15;15
schinus;8;trat25;0;15;15
schinus;8;peg;0;15;15
schinus;8;agua;0;15;15
schinus;9;trat50;0;15;15
schinus;9;trat25;2;13;15
schinus;9;peg;0;15;15
schinus;9;agua;3;12;15
schinus;10;trat50;3;12;15
schinus;10;trat25;4;11;15
schinus;10;peg;1;14;15
schinus;10;agua;3;12;15
lithraea;1;trat50;0;15;15
lithraea;1;trat25;0;15;15
lithraea;1;peg;0;15;15
lithraea;1;agua;1;14;15
lithraea;2;trat50;0;15;15
lithraea;2;trat25;0;15;15
lithraea;2;peg;0;15;15
lithraea;2;agua;1;14;15
lithraea;3;trat50;1;14;15
lithraea;3;trat25;2;13;15
lithraea;3;peg;0;15;15
lithraea;3;agua;2;13;15
lithraea;4;trat50;1;14;15
lithraea;4;trat25;0;15;15
lithraea;4;peg;1;14;15
lithraea;4;agua;1;14;15
lithraea;5;trat50;0;15;15
lithraea;5;trat25;1;14;15
lithraea;5;peg;1;14;15
lithraea;5;agua;0;15;15
lithraea;6;trat50;0;15;15
lithraea;6;trat25;0;15;15
lithraea;6;peg;0;15;15
lithraea;6;agua;0;15;15
lithraea;7;trat50;0;15;15
lithraea;7;trat25;0;15;15
lithraea;7;peg;0;15;15
lithraea;7;agua;0;15;15
lithraea;8;trat50;0;15;15
lithraea;8;trat25;0;15;15
lithraea;8;peg;0;15;15
lithraea;8;agua;0;15;15
lithraea;9;trat50;0;15;15
lithraea;9;trat25;0;15;15
lithraea;9;peg;0;15;15
lithraea;9;agua;1;14;15
lithraea;10;trat50;0;15;15
lithraea;10;trat25;0;15;15
lithraea;10;peg;0;15;15
lithraea;10;agua;2;13;15
citharexylum;1;trat50;0;15;15
citharexylum;1;trat25;1;14;15
citharexylum;1;peg;0;15;15
citharexylum;1;agua;0;15;15
citharexylum;2;trat50;0;15;15
citharexylum;2;trat25;0;15;15
citharexylum;2;peg;0;15;15
citharexylum;2;agua;0;15;15
citharexylum;3;trat50;0;15;15
citharexylum;3;trat25;0;15;15
citharexylum;3;peg;0;15;15
citharexylum;3;agua;0;15;15
citharexylum;4;trat50;1;14;15
citharexylum;4;trat25;2;13;15
citharexylum;4;peg;0;15;15
citharexylum;4;agua;0;15;15
citharexylum;5;trat50;0;15;15
citharexylum;5;trat25;0;15;15
citharexylum;5;peg;0;15;15
citharexylum;5;agua;0;15;15
citharexylum;6;trat50;0;15;15
citharexylum;6;trat25;0;15;15
citharexylum;6;peg;0;15;15
citharexylum;6;agua;1;14;15
citharexylum;7;trat50;1;14;15
citharexylum;7;trat25;1;14;15
citharexylum;7;peg;0;15;15
citharexylum;7;agua;0;15;15
citharexylum;8;trat50;0;15;15
citharexylum;8;trat25;0;15;15
citharexylum;8;peg;1;14;15
citharexylum;8;agua;0;15;15
citharexylum;9;trat50;0;15;15
citharexylum;9;trat25;0;15;15
citharexylum;9;peg;0;15;15
citharexylum;9;agua;0;15;15
citharexylum;10;trat50;1;14;15
citharexylum;10;trat25;0;15;15
citharexylum;10;peg;0;15;15
citharexylum;10;agua;0;15;15
